=== Relatório de Comunidades ===
 - Comunidade 175: 1 nós
 - Comunidade 176: 1 nós
 - Comunidade 177: 1 nós
 - Comunidade 178: 1 nós
 - Comunidade 179: 1 nós
 - Comunidade 180: 1 nós
 - Comunidade 181: 1 nós
 - Comunidade 182: 1 nós
 - Comunidade 183: 1 nós
 - Comunidade 184: 1 nós
 - Comunidade 185: 1 nós
 - Comunidade 186: 1 nós
 - Comunidade 187: 1 nós
 - Comunidade 188: 1 nós
 - Comunidade 189: 1 nós
 - Comunidade 190: 1 nós
 - Comunidade 191: 1 nós
 - Comunidade 192: 1 nós
 - Comunidade 193: 1 nós
 - Comunidade 194: 1 nós
 - Comunidade 195: 1 nós
 - Comunidade 197: 1 nós
 - Comunidade 198: 1 nós
 - Comunidade 199: 1 nós
 - Comunidade 200: 1 nós
 - Comunidade 201: 1 nós
 - Comunidade 202: 1 nós
 - Comunidade 204: 1 nós
 - Comunidade 205: 1 nós
 - Comunidade 206: 1 nós
 - Comunidade 208: 1 nós
 - Comunidade 209: 1 nós
 - Comunidade 210: 1 nós
 - Comunidade 211: 1 nós
 - Comunidade 212: 1 nós
 - Comunidade 213: 1 nós
 - Comunidade 214: 1 nós
 - Comunidade 215: 1 nós
 - Comunidade 216: 1 nós
 - Comunidade 217: 1 nós
 - Comunidade 219: 1 nós
 - Comunidade 463: 1 nós
 - Comunidade 221: 1 nós
 - Comunidade 222: 1 nós
 - Comunidade 223: 1 nós
 - Comunidade 224: 1 nós
 - Comunidade 225: 1 nós
 - Comunidade 226: 1 nós
 - Comunidade 227: 1 nós
 - Comunidade 228: 1 nós
 - Comunidade 230: 1 nós
 - Comunidade 231: 1 nós
 - Comunidade 232: 1 nós
 - Comunidade 233: 1 nós
 - Comunidade 234: 1 nós
 - Comunidade 235: 1 nós
 - Comunidade 236: 1 nós
 - Comunidade 237: 1 nós
 - Comunidade 238: 1 nós
 - Comunidade 239: 1 nós
 - Comunidade 240: 1 nós
 - Comunidade 241: 1 nós
 - Comunidade 242: 1 nós
 - Comunidade 243: 1 nós
 - Comunidade 244: 1 nós
 - Comunidade 245: 1 nós
 - Comunidade 246: 1 nós
 - Comunidade 247: 1 nós
 - Comunidade 248: 1 nós
 - Comunidade 249: 1 nós
 - Comunidade 250: 1 nós
 - Comunidade 251: 1 nós
 - Comunidade 252: 1 nós
 - Comunidade 253: 1 nós
 - Comunidade 254: 1 nós
 - Comunidade 255: 1 nós
 - Comunidade 256: 1 nós
 - Comunidade 257: 1 nós
 - Comunidade 258: 1 nós
 - Comunidade 259: 1 nós
 - Comunidade 260: 1 nós
 - Comunidade 261: 1 nós
 - Comunidade 262: 1 nós
 - Comunidade 263: 1 nós
 - Comunidade 264: 1 nós
 - Comunidade 265: 1 nós
 - Comunidade 266: 1 nós
 - Comunidade 267: 1 nós
 - Comunidade 268: 1 nós
 - Comunidade 269: 1 nós
 - Comunidade 270: 1 nós
 - Comunidade 271: 1 nós
 - Comunidade 272: 1 nós
 - Comunidade 273: 1 nós
 - Comunidade 275: 1 nós
 - Comunidade 276: 1 nós
 - Comunidade 277: 1 nós
 - Comunidade 278: 1 nós
 - Comunidade 279: 1 nós
 - Comunidade 280: 1 nós
 - Comunidade 281: 1 nós
 - Comunidade 282: 1 nós
 - Comunidade 283: 1 nós
 - Comunidade 284: 1 nós
 - Comunidade 285: 1 nós
 - Comunidade 286: 1 nós
 - Comunidade 288: 1 nós
 - Comunidade 290: 1 nós
 - Comunidade 292: 1 nós
 - Comunidade 293: 1 nós
 - Comunidade 294: 1 nós
 - Comunidade 295: 1 nós
 - Comunidade 296: 1 nós
 - Comunidade 297: 1 nós
 - Comunidade 298: 1 nós
 - Comunidade 299: 1 nós
 - Comunidade 300: 1 nós
 - Comunidade 301: 1 nós
 - Comunidade 302: 1 nós
 - Comunidade 303: 1 nós
 - Comunidade 304: 1 nós
 - Comunidade 305: 1 nós
 - Comunidade 306: 1 nós
 - Comunidade 307: 1 nós
 - Comunidade 308: 1 nós
 - Comunidade 309: 1 nós
 - Comunidade 432: 1 nós
 - Comunidade 311: 1 nós
 - Comunidade 313: 1 nós
 - Comunidade 314: 1 nós
 - Comunidade 315: 1 nós
 - Comunidade 316: 1 nós
 - Comunidade 317: 1 nós
 - Comunidade 318: 1 nós
 - Comunidade 319: 1 nós
 - Comunidade 320: 1 nós
 - Comunidade 321: 1 nós
 - Comunidade 322: 1 nós
 - Comunidade 323: 1 nós
 - Comunidade 325: 1 nós
 - Comunidade 326: 1 nós
 - Comunidade 327: 1 nós
 - Comunidade 328: 1 nós
 - Comunidade 329: 1 nós
 - Comunidade 330: 1 nós
 - Comunidade 331: 1 nós
 - Comunidade 332: 1 nós
 - Comunidade 333: 1 nós
 - Comunidade 334: 1 nós
 - Comunidade 335: 1 nós
 - Comunidade 336: 1 nós
 - Comunidade 337: 1 nós
 - Comunidade 339: 1 nós
 - Comunidade 340: 1 nós
 - Comunidade 341: 1 nós
 - Comunidade 342: 1 nós
 - Comunidade 78: 1 nós
 - Comunidade 344: 1 nós
 - Comunidade 345: 1 nós
 - Comunidade 346: 1 nós
 - Comunidade 347: 1 nós
 - Comunidade 348: 1 nós
 - Comunidade 350: 1 nós
 - Comunidade 351: 1 nós
 - Comunidade 352: 1 nós
 - Comunidade 353: 1 nós
 - Comunidade 354: 1 nós
 - Comunidade 355: 1 nós
 - Comunidade 357: 1 nós
 - Comunidade 358: 1 nós
 - Comunidade 360: 1 nós
 - Comunidade 361: 1 nós
 - Comunidade 362: 1 nós
 - Comunidade 364: 1 nós
 - Comunidade 365: 1 nós
 - Comunidade 366: 1 nós
 - Comunidade 367: 1 nós
 - Comunidade 368: 1 nós
 - Comunidade 369: 1 nós
 - Comunidade 370: 1 nós
 - Comunidade 371: 1 nós
 - Comunidade 372: 1 nós
 - Comunidade 373: 1 nós
 - Comunidade 374: 1 nós
 - Comunidade 375: 1 nós
 - Comunidade 376: 1 nós
 - Comunidade 377: 1 nós
 - Comunidade 378: 1 nós
 - Comunidade 379: 1 nós
 - Comunidade 380: 1 nós
 - Comunidade 381: 1 nós
 - Comunidade 382: 1 nós
 - Comunidade 383: 1 nós
 - Comunidade 384: 1 nós
 - Comunidade 385: 1 nós
 - Comunidade 386: 1 nós
 - Comunidade 387: 1 nós
 - Comunidade 388: 1 nós
 - Comunidade 389: 1 nós
 - Comunidade 390: 1 nós
 - Comunidade 391: 1 nós
 - Comunidade 392: 1 nós
 - Comunidade 393: 1 nós
 - Comunidade 394: 1 nós
 - Comunidade 395: 1 nós
 - Comunidade 396: 1 nós
 - Comunidade 397: 1 nós
 - Comunidade 398: 1 nós
 - Comunidade 399: 1 nós
 - Comunidade 400: 1 nós
 - Comunidade 401: 1 nós
 - Comunidade 403: 1 nós
 - Comunidade 404: 1 nós
 - Comunidade 405: 1 nós
 - Comunidade 406: 1 nós
 - Comunidade 407: 1 nós
 - Comunidade 408: 1 nós
 - Comunidade 409: 1 nós
 - Comunidade 410: 1 nós
 - Comunidade 411: 1 nós
 - Comunidade 412: 1 nós
 - Comunidade 413: 1 nós
 - Comunidade 414: 1 nós
 - Comunidade 415: 1 nós
 - Comunidade 416: 1 nós
 - Comunidade 417: 1 nós
 - Comunidade 419: 1 nós
 - Comunidade 420: 1 nós
 - Comunidade 421: 1 nós
 - Comunidade 422: 1 nós
 - Comunidade 423: 1 nós
 - Comunidade 425: 1 nós
 - Comunidade 426: 1 nós
 - Comunidade 427: 1 nós
 - Comunidade 428: 1 nós
 - Comunidade 429: 1 nós
 - Comunidade 430: 1 nós
 - Comunidade 431: 1 nós
 - Comunidade 433: 1 nós
 - Comunidade 434: 1 nós
 - Comunidade 435: 1 nós
 - Comunidade 436: 1 nós
 - Comunidade 437: 1 nós
 - Comunidade 438: 1 nós
 - Comunidade 439: 1 nós
 - Comunidade 440: 1 nós
 - Comunidade 442: 1 nós
 - Comunidade 443: 1 nós
 - Comunidade 444: 1 nós
 - Comunidade 445: 1 nós
 - Comunidade 447: 1 nós
 - Comunidade 448: 1 nós
 - Comunidade 449: 1 nós
 - Comunidade 450: 1 nós
 - Comunidade 451: 1 nós
 - Comunidade 402: 1 nós
 - Comunidade 453: 1 nós
 - Comunidade 454: 1 nós
 - Comunidade 455: 1 nós
 - Comunidade 456: 1 nós
 - Comunidade 16: 1 nós
 - Comunidade 459: 1 nós
 - Comunidade 229: 1 nós
 - Comunidade 461: 1 nós
 - Comunidade 462: 1 nós
 - Comunidade 207: 1 nós
 - Comunidade 464: 1 nós
 - Comunidade 466: 1 nós
 - Comunidade 467: 1 nós
 - Comunidade 468: 1 nós
 - Comunidade 469: 1 nós
 - Comunidade 470: 1 nós
 - Comunidade 471: 1 nós
 - Comunidade 472: 1 nós
 - Comunidade 473: 1 nós
 - Comunidade 474: 1 nós
 - Comunidade 475: 1 nós
 - Comunidade 196: 1 nós
 - Comunidade 477: 1 nós
 - Comunidade 478: 1 nós
 - Comunidade 479: 1 nós
 - Comunidade 480: 1 nós
 - Comunidade 481: 1 nós
 - Comunidade 482: 1 nós
 - Comunidade 483: 1 nós
 - Comunidade 484: 1 nós
 - Comunidade 485: 1 nós
 - Comunidade 486: 1 nós
 - Comunidade 487: 1 nós
 - Comunidade 488: 1 nós
 - Comunidade 489: 1 nós
 - Comunidade 490: 1 nós
 - Comunidade 491: 1 nós
 - Comunidade 492: 1 nós
 - Comunidade 359: 1 nós
 - Comunidade 494: 1 nós
 - Comunidade 349: 1 nós
 - Comunidade 496: 1 nós
 - Comunidade 497: 1 nós
 - Comunidade 498: 1 nós
 - Comunidade 499: 1 nós
 - Comunidade 97: 1 nós
 - Comunidade 98: 1 nós
 - Comunidade 356: 1 nós
 - Comunidade 102: 1 nós
 - Comunidade 104: 1 nós
 - Comunidade 363: 1 nós
 - Comunidade 446: 1 nós
 - Comunidade 493: 1 nós
 - Comunidade 495: 1 nós
 - Comunidade 126: 1 nós
 - Comunidade 338: 1 nós
 - Comunidade 38: 1 nós
 - Comunidade 135: 1 nós
 - Comunidade 476: 1 nós
 - Comunidade 465: 1 nós
 - Comunidade 274: 1 nós
 - Comunidade 74: 1 nós
 - Comunidade 310: 1 nós
 - Comunidade 151: 1 nós
 - Comunidade 287: 1 nós
 - Comunidade 161: 1 nós
 - Comunidade 220: 1 nós
 - Comunidade 418: 1 nós
 - Comunidade 291: 1 nós
 - Comunidade 343: 1 nós
 - Comunidade 458: 1 nós
 - Comunidade 460: 1 nós


=== Comunidade 1 (ID real 289) — 40 nós ===
 - deputado_178833
 - deputado_73891
 - deputado_134812
 - deputado_204552
 - deputado_204354
 - deputado_204429
 - deputado_204576
 - deputado_204543
 - deputado_204469
 - deputado_204433
 - deputado_171619
 - deputado_74571
 - deputado_74305
 - deputado_90842
 - deputado_204399
 - deputado_178874
 - deputado_204463
 - deputado_159237
 - deputado_160552
 - deputado_207309
 - deputado_211866
 - deputado_204447
 - deputado_81055
 - deputado_74319
 - deputado_122158
 - deputado_211649
 - deputado_204478
 - deputado_178842
 - deputado_141428
 - deputado_212504
 - deputado_122466
 - deputado_205535
 - deputado_213856
 - deputado_213679
 - deputado_178830
 - deputado_212749
 - deputado_74806
 - deputado_214694
 - deputado_214445
 - deputado_178982

=== Comunidade 2 (ID real 441) — 26 nós ===
 - deputado_204486
 - deputado_178887
 - deputado_74399
 - deputado_178901
 - deputado_74141
 - deputado_204384
 - deputado_128760
 - deputado_214477
 - deputado_213854
 - deputado_217480
 - deputado_73463
 - deputado_105534
 - deputado_123756
 - deputado_154919
 - deputado_220008
 - deputado_141480
 - deputado_219592
 - deputado_160517
 - deputado_160542
 - deputado_219585
 - deputado_219599
 - deputado_218879
 - deputado_160621
 - deputado_219568
 - deputado_178888
 - deputado_214865

=== Comunidade 3 (ID real 452) — 24 nós ===
 - deputado_141552
 - deputado_74212
 - deputado_178963
 - deputado_74253
 - deputado_178943
 - deputado_141515
 - deputado_216544
 - deputado_215042
 - deputado_178862
 - deputado_215044
 - deputado_141372
 - deputado_215043
 - deputado_74254
 - deputado_215045
 - deputado_217330
 - deputado_178844
 - deputado_178935
 - deputado_217036
 - deputado_141478
 - deputado_178868
 - deputado_216313
 - deputado_122195
 - deputado_216545
 - deputado_191945

=== Comunidade 4 (ID real 158) — 5 nós ===
 - deputado_204397
 - deputado_74693
 - deputado_212625
 - deputado_129618
 - deputado_216198

=== Comunidade 5 (ID real 312) — 5 nós ===
 - deputado_178984
 - deputado_218086
 - deputado_218245
 - deputado_118594
 - deputado_218741

=== Comunidade 6 (ID real 324) — 2 nós ===
 - deputado_92172
 - deputado_74165

=== Comunidade 7 (ID real 0) — 1 nós ===
 - deputado_204554

=== Comunidade 8 (ID real 1) — 1 nós ===
 - deputado_204521

=== Comunidade 9 (ID real 2) — 1 nós ===
 - deputado_204560

=== Comunidade 10 (ID real 3) — 1 nós ===
 - deputado_204528

=== Comunidade 11 (ID real 4) — 1 nós ===
 - deputado_121948

=== Comunidade 12 (ID real 5) — 1 nós ===
 - deputado_160508

=== Comunidade 13 (ID real 6) — 1 nós ===
 - deputado_204495

=== Comunidade 14 (ID real 7) — 1 nós ===
 - deputado_160559

=== Comunidade 15 (ID real 8) — 1 nós ===
 - deputado_204413

=== Comunidade 16 (ID real 9) — 1 nós ===
 - deputado_204545

=== Comunidade 17 (ID real 10) — 1 nós ===
 - deputado_204501

=== Comunidade 18 (ID real 11) — 1 nós ===
 - deputado_160511

=== Comunidade 19 (ID real 12) — 1 nós ===
 - deputado_204571

=== Comunidade 20 (ID real 13) — 1 nós ===
 - deputado_204544

=== Comunidade 21 (ID real 14) — 1 nós ===
 - deputado_160545

=== Comunidade 22 (ID real 15) — 1 nós ===
 - deputado_204503

=== Comunidade 23 (ID real 17) — 1 nós ===
 - deputado_74057

=== Comunidade 24 (ID real 18) — 1 nós ===
 - deputado_204400

=== Comunidade 25 (ID real 19) — 1 nós ===
 - deputado_178937

=== Comunidade 26 (ID real 20) — 1 nós ===
 - deputado_204356

=== Comunidade 27 (ID real 21) — 1 nós ===
 - deputado_178831

=== Comunidade 28 (ID real 22) — 1 nós ===
 - deputado_74471

=== Comunidade 29 (ID real 23) — 1 nós ===
 - deputado_204515

=== Comunidade 30 (ID real 24) — 1 nós ===
 - deputado_160553

=== Comunidade 31 (ID real 25) — 1 nós ===
 - deputado_204414

=== Comunidade 32 (ID real 26) — 1 nós ===
 - deputado_74459

=== Comunidade 33 (ID real 27) — 1 nós ===
 - deputado_160665

=== Comunidade 34 (ID real 28) — 1 nós ===
 - deputado_204509

=== Comunidade 35 (ID real 29) — 1 nós ===
 - deputado_69871

=== Comunidade 36 (ID real 30) — 1 nós ===
 - deputado_73701

=== Comunidade 37 (ID real 31) — 1 nós ===
 - deputado_109429

=== Comunidade 38 (ID real 32) — 1 nós ===
 - deputado_141335

=== Comunidade 39 (ID real 33) — 1 nós ===
 - deputado_204358

=== Comunidade 40 (ID real 34) — 1 nós ===
 - deputado_207176

=== Comunidade 41 (ID real 35) — 1 nós ===
 - deputado_204374

=== Comunidade 42 (ID real 36) — 1 nós ===
 - deputado_141513

=== Comunidade 43 (ID real 37) — 1 nós ===
 - deputado_204561

=== Comunidade 44 (ID real 39) — 1 nós ===
 - deputado_74052

=== Comunidade 45 (ID real 40) — 1 nós ===
 - deputado_204352

=== Comunidade 46 (ID real 41) — 1 nós ===
 - deputado_204572

=== Comunidade 47 (ID real 42) — 1 nós ===
 - deputado_178829

=== Comunidade 48 (ID real 43) — 1 nós ===
 - deputado_204531

=== Comunidade 49 (ID real 44) — 1 nós ===
 - deputado_204487

=== Comunidade 50 (ID real 45) — 1 nós ===
 - deputado_204361

=== Comunidade 51 (ID real 46) — 1 nós ===
 - deputado_178993

=== Comunidade 52 (ID real 47) — 1 nós ===
 - deputado_204460

=== Comunidade 53 (ID real 48) — 1 nós ===
 - deputado_74262

=== Comunidade 54 (ID real 49) — 1 nós ===
 - deputado_204426

=== Comunidade 55 (ID real 50) — 1 nós ===
 - deputado_141398

=== Comunidade 56 (ID real 51) — 1 nós ===
 - deputado_164360

=== Comunidade 57 (ID real 52) — 1 nós ===
 - deputado_204369

=== Comunidade 58 (ID real 53) — 1 nós ===
 - deputado_204499

=== Comunidade 59 (ID real 54) — 1 nós ===
 - deputado_204370

=== Comunidade 60 (ID real 55) — 1 nós ===
 - deputado_178876

=== Comunidade 61 (ID real 56) — 1 nós ===
 - deputado_204488

=== Comunidade 62 (ID real 57) — 1 nós ===
 - deputado_204496

=== Comunidade 63 (ID real 58) — 1 nós ===
 - deputado_205476

=== Comunidade 64 (ID real 59) — 1 nós ===
 - deputado_204490

=== Comunidade 65 (ID real 60) — 1 nós ===
 - deputado_141439

=== Comunidade 66 (ID real 61) — 1 nós ===
 - deputado_204476

=== Comunidade 67 (ID real 62) — 1 nós ===
 - deputado_204462

=== Comunidade 68 (ID real 63) — 1 nós ===
 - deputado_204440

=== Comunidade 69 (ID real 64) — 1 nós ===
 - deputado_178939

=== Comunidade 70 (ID real 65) — 1 nós ===
 - deputado_141408

=== Comunidade 71 (ID real 66) — 1 nós ===
 - deputado_204376

=== Comunidade 72 (ID real 67) — 1 nós ===
 - deputado_204378

=== Comunidade 73 (ID real 68) — 1 nós ===
 - deputado_204514

=== Comunidade 74 (ID real 69) — 1 nós ===
 - deputado_135054

=== Comunidade 75 (ID real 70) — 1 nós ===
 - deputado_141411

=== Comunidade 76 (ID real 71) — 1 nós ===
 - deputado_74467

=== Comunidade 77 (ID real 72) — 1 nós ===
 - deputado_178916

=== Comunidade 78 (ID real 73) — 1 nós ===
 - deputado_204367

=== Comunidade 79 (ID real 218) — 1 nós ===
 - deputado_204454

=== Comunidade 80 (ID real 75) — 1 nós ===
 - deputado_204409

=== Comunidade 81 (ID real 76) — 1 nós ===
 - deputado_160528

=== Comunidade 82 (ID real 77) — 1 nós ===
 - deputado_116379

=== Comunidade 83 (ID real 79) — 1 nós ===
 - deputado_205548

=== Comunidade 84 (ID real 80) — 1 nós ===
 - deputado_204511

=== Comunidade 85 (ID real 81) — 1 nós ===
 - deputado_204451

=== Comunidade 86 (ID real 82) — 1 nós ===
 - deputado_178908

=== Comunidade 87 (ID real 83) — 1 nós ===
 - deputado_204512

=== Comunidade 88 (ID real 84) — 1 nós ===
 - deputado_204569

=== Comunidade 89 (ID real 85) — 1 nós ===
 - deputado_204542

=== Comunidade 90 (ID real 86) — 1 nós ===
 - deputado_160588

=== Comunidade 91 (ID real 87) — 1 nós ===
 - deputado_178929

=== Comunidade 92 (ID real 88) — 1 nós ===
 - deputado_160599

=== Comunidade 93 (ID real 89) — 1 nós ===
 - deputado_160758

=== Comunidade 94 (ID real 90) — 1 nós ===
 - deputado_204450

=== Comunidade 95 (ID real 91) — 1 nós ===
 - deputado_204439

=== Comunidade 96 (ID real 92) — 1 nós ===
 - deputado_204351

=== Comunidade 97 (ID real 93) — 1 nós ===
 - deputado_204412

=== Comunidade 98 (ID real 94) — 1 nós ===
 - deputado_81297

=== Comunidade 99 (ID real 95) — 1 nós ===
 - deputado_204434

=== Comunidade 100 (ID real 96) — 1 nós ===
 - deputado_141417

=== Comunidade 101 (ID real 424) — 1 nós ===
 - deputado_204421

=== Comunidade 102 (ID real 99) — 1 nós ===
 - deputado_74655

=== Comunidade 103 (ID real 100) — 1 nós ===
 - deputado_204541

=== Comunidade 104 (ID real 101) — 1 nós ===
 - deputado_92346

=== Comunidade 105 (ID real 103) — 1 nós ===
 - deputado_204500

=== Comunidade 106 (ID real 500) — 1 nós ===
 - deputado_141422

=== Comunidade 107 (ID real 105) — 1 nós ===
 - deputado_74075

=== Comunidade 108 (ID real 106) — 1 nós ===
 - deputado_204364

=== Comunidade 109 (ID real 107) — 1 nós ===
 - deputado_204389

=== Comunidade 110 (ID real 108) — 1 nós ===
 - deputado_198783

=== Comunidade 111 (ID real 109) — 1 nós ===
 - deputado_161550

=== Comunidade 112 (ID real 110) — 1 nós ===
 - deputado_132504

=== Comunidade 113 (ID real 111) — 1 nós ===
 - deputado_204537

=== Comunidade 114 (ID real 112) — 1 nós ===
 - deputado_160640

=== Comunidade 115 (ID real 113) — 1 nós ===
 - deputado_204482

=== Comunidade 116 (ID real 114) — 1 nós ===
 - deputado_178871

=== Comunidade 117 (ID real 115) — 1 nós ===
 - deputado_68720

=== Comunidade 118 (ID real 116) — 1 nós ===
 - deputado_178969

=== Comunidade 119 (ID real 117) — 1 nós ===
 - deputado_141427

=== Comunidade 120 (ID real 118) — 1 nós ===
 - deputado_160587

=== Comunidade 121 (ID real 119) — 1 nós ===
 - deputado_204477

=== Comunidade 122 (ID real 120) — 1 nós ===
 - deputado_72442

=== Comunidade 123 (ID real 121) — 1 nós ===
 - deputado_204398

=== Comunidade 124 (ID real 122) — 1 nós ===
 - deputado_204371

=== Comunidade 125 (ID real 123) — 1 nós ===
 - deputado_160666

=== Comunidade 126 (ID real 124) — 1 nós ===
 - deputado_141431

=== Comunidade 127 (ID real 125) — 1 nós ===
 - deputado_204411

=== Comunidade 128 (ID real 127) — 1 nós ===
 - deputado_160598

=== Comunidade 129 (ID real 128) — 1 nós ===
 - deputado_191923

=== Comunidade 130 (ID real 129) — 1 nós ===
 - deputado_204392

=== Comunidade 131 (ID real 130) — 1 nós ===
 - deputado_204510

=== Comunidade 132 (ID real 131) — 1 nós ===
 - deputado_204494

=== Comunidade 133 (ID real 132) — 1 nós ===
 - deputado_115746

=== Comunidade 134 (ID real 133) — 1 nós ===
 - deputado_178966

=== Comunidade 135 (ID real 134) — 1 nós ===
 - deputado_204575

=== Comunidade 136 (ID real 203) — 1 nós ===
 - deputado_74270

=== Comunidade 137 (ID real 136) — 1 nós ===
 - deputado_152605

=== Comunidade 138 (ID real 137) — 1 nós ===
 - deputado_204419

=== Comunidade 139 (ID real 138) — 1 nós ===
 - deputado_107283

